timestamp, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/23 21:23:27.096, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 12.90 W, 29
2026/09/23 21:23:32.097, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.14 W, 29
2026/09/23 21:23:37.098, NVIDIA GeForce RTX 5090, 32607 MiB, 23 MiB, 32165 MiB, 0 %, 13.49 W, 29
2026/09/23 21:23:42.104, NVIDIA GeForce RTX 5090, 32607 MiB, 680 MiB, 31508 MiB, 0 %, 58.87 W, 32
2026/09/23 21:23:47.120, NVIDIA GeForce RTX 5090, 32607 MiB, 1568 MiB, 30620 MiB, 13 %, 21.93 W, 30
2026/09/23 21:23:52.134, NVIDIA GeForce RTX 5090, 32607 MiB, 23216 MiB, 8972 MiB, 3 %, 35.93 W, 31
2026/09/23 21:23:57.147, NVIDIA GeForce RTX 5090, 32607 MiB, 23216 MiB, 8972 MiB, 31 %, 29.34 W, 30
2026/09/23 21:24:02.163, NVIDIA GeForce RTX 5090, 32607 MiB, 23216 MiB, 8972 MiB, 17 %, 25.17 W, 30
2026/09/23 21:24:07.181, NVIDIA GeForce RTX 5090, 32607 MiB, 23216 MiB, 8972 MiB, 6 %, 15.62 W, 30
2026/09/23 21:24:12.187, NVIDIA GeForce RTX 5090, 32607 MiB, 23216 MiB, 8972 MiB, 9 %, 15.24 W, 29
2026/09/23 21:24:17.191, NVIDIA GeForce RTX 5090, 32607 MiB, 23216 MiB, 8972 MiB, 6 %, 15.44 W, 29
2026/09/23 21:24:22.194, NVIDIA GeForce RTX 5090, 32607 MiB, 23216 MiB, 8972 MiB, 7 %, 15.08 W, 29
2026/09/23 21:24:27.210, NVIDIA GeForce RTX 5090, 32607 MiB, 23216 MiB, 8972 MiB, 6 %, 14.89 W, 29
2026/09/23 21:24:32.221, NVIDIA GeForce RTX 5090, 32607 MiB, 23216 MiB, 8972 MiB, 6 %, 15.39 W, 29
2026/09/23 21:24:37.234, NVIDIA GeForce RTX 5090, 32607 MiB, 23216 MiB, 8972 MiB, 0 %, 14.39 W, 29
