target_context,actual_prompt_p50,repetitions,ttft_p50_s,ttft_min_s,ttft_max_s,effective_prefill_p50_tok_s,effective_prefill_min_tok_s,effective_prefill_max_tok_s,decode_p50_tok_s,decode_min_tok_s,decode_max_tok_s,e2e_p50_s,e2e_min_s,e2e_max_s
4096,3613,5,0.141,0.137,0.643,25627.1,5623.0,26467.4,155.9,136.9,160.3,0.340,0.330,0.862
32768,29797,5,2.247,2.237,2.596,13261.0,11474.7,13319.4,130.1,118.5,156.5,2.569,2.502,2.926
65536,61681,5,3.255,3.245,3.261,18953.1,18913.1,19010.4,132.4,115.8,147.2,3.453,3.434,3.551
131072,125447,5,6.932,6.898,8.847,18095.8,14180.2,18186.0,114.7,109.1,124.2,7.192,7.108,9.058
196608,189209,3,20.066,19.779,20.400,9429.4,9275.1,9566.3,120.5,119.4,138.3,20.257,20.068,20.592
253952,245000,2,27.345,27.345,27.410,8938.4,8938.4,8959.8,112.9,112.9,152.0,27.549,27.549,27.732
